,SMILES,CID,Solubility1,Solubility2,Molecular_Weight,sol_new1,Unit,pubchem_sol_gl,smiles_canon,Lit_Sol_LogS,Lit_gram_liter,Error_gl
100,C1CCC(CC1)(CC(=O)O)CN,3446.0,>25.7 [ug/mL] (The mean of the results at pH 7.4),"('25.7', 'ug/mL', '')",171.23999999999998,25.7,ug/mL,0.0257,NCC1(CC(=O)O)CCCCC1,-1.581262189,4.490999742506775,4.465299742506775
101,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,3475.0,42.6 [ug/mL] (The mean of the results at pH 7.4),"('42.6', 'ug/mL', '')",323.4180000000002,42.6,ug/mL,0.0426,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,-4.29,0.01658686030877193,-0.02601313969122807
102,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,3478.0,>66.8 [ug/mL] (The mean of the results at pH 7.4),"('66.8', 'ug/mL', '')",445.5450000000002,66.8,ug/mL,0.0668,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,-5.489366666666666,0.00144385941001863,-0.06535614058998136
103,C(CC=O)CC=O,3485.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",100.117,100.0,mg/mL,100.0,O=CCCCC=O,0.999479159,999.970035809918,899.970035809918
104,C(C(=O)O)NCP(=O)(O)O,3496.0,"5 to 10 mg/mL at 64 °F (NTP, 1992)","('10', 'mg/mL', '')",169.073,10.0,mg/mL,10.0,O=C(O)CNCP(=O)(O)O,-1.2069,10.499636374739136,0.49963637473913636
105,CC1=C2C=CC(=C2C=C(C=C1)C(C)C)C,3515.0,0.000664 mg/mL at 25 °C,"('0.000664', 'mg/mL', '')",198.309,0.000664,mg/mL,0.000664,Cc1ccc(C(C)C)cc2c(C)ccc1-2,-5.4752,0.0006639607770861094,-3.922291389054332e-08
106,CC(C)C1=CC(=O)C(=CC=C1)O,3611.0,1.2 mg/mL at 25 °C,"('1.2', 'mg/mL', '')",164.20399999999998,1.2,mg/mL,1.2,CC(C)c1cccc(O)c(=O)c1,-2.1362104075,1.19997811298603,-2.188701396987902e-05
107,CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O,3634.0,>53.5 [ug/mL] (The mean of the results at pH 7.4),"('53.5', 'ug/mL', '')",356.4910000000001,53.5,ug/mL,0.0535,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,-4.689193394,0.007292142990733462,-0.04620785700926654
108,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,3647.0,>49.7 [ug/mL] (The mean of the results at pH 7.4),"('49.7', 'ug/mL', '')",331.297,49.7,ug/mL,0.0497,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,-3.000771768,0.3307087876584145,0.28100878765841447
109,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,3658.0,Crystals; MP 193 °C; Bitter taste. Solubility in mg/mL: water <700; chloroform 60; acetone 2; ether <0.1. Solutions are unstable to intense UV light. /Hydroxyzine dihydrochloride/,"('193', 'mg/mL', '')",374.912,193.0,mg/mL,193.0,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-2.942482097,0.4280034249602231,-192.57199657503978
110,CC(C)(CC1=CC=CC=C1)NC,3677.0,"1 G DISSOLVES IN 20 ML WATER, ABOUT 150 ML ETHANOL (95%); PRACTICALLY INSOL IN CHLOROFORM /SULFATE DIHYDRATE/","('20', ' M', '')",163.26399999999998,20.0, M,3265.28,CNC(C)(C)Cc1ccccc1,-1.549472247,4.606999717201057,-3260.673000282799
111,C1=CN=CC=C1C2=CNC(=O)C(=C2)N,3698.0,>28.1 [ug/mL] (The mean of the results at pH 7.4),"('28.1', 'ug/mL', '')",187.202,28.1,ug/mL,0.0281,Nc1cc(-c2ccncc2)c[nH]c1=O,-2.047001203,1.6799999982582734,1.6518999982582734
112,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,3739.0,>171 [ug/mL] (The mean of the results at pH 7.4),"('171', 'ug/mL', '')",1139.7640000000004,171.0,ug/mL,0.171,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,-3.3920291235,0.462153037681349,0.29115303768134904
113,C1=CC=C(C=C1)C(C(=O)O)N,3866.0,115 mg/mL at 100 °C,"('115', 'mg/mL', '')",151.16499999999996,115.0,mg/mL,115.0,NC(C(=O)O)c1ccccc1,-1.508277256,4.690012415582471,-110.30998758441753
114,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,4011.0,38.6 [ug/mL] (The mean of the results at pH 7.4),"('38.6', 'ug/mL', '')",277.41100000000006,38.6,ug/mL,0.0386,CNCCCC12CCC(c3ccccc31)c1ccccc12,-4.561291492,0.007617845947846457,-0.030982154052153543
115,CC1=NN(C(=O)C1)C2=CC=CC=C2,4021.0,25.4 [ug/mL] (The mean of the results at pH 7.4),"('25.4', 'ug/mL', '')",174.203,25.4,ug/mL,0.0254,CC1=NN(c2ccccc2)C(=O)C1,-3.270429853,0.09346000003400516,0.06806000003400517
116,CCN(CC)CCNC(=O)COC1=CC=C(C=C1)OC,4045.0,32 [ug/mL] (The mean of the results at pH 7.4),"('32', 'ug/mL', '')",280.36800000000005,32.0,ug/mL,0.032,CCN(CC)CCNC(=O)COc1ccc(OC)cc1,-2.776185374,0.4693999830878832,0.4373999830878832
117,C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53,4066.0,>48.4 [ug/mL] (The mean of the results at pH 7.4),"('48.4', 'ug/mL', '')",322.47700000000003,48.4,ug/mL,0.0484,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,-5.887624842,0.0004177090675273675,-0.04798229093247263
118,CC(C)NCC(C1=CC(=CC(=C1)O)O)O,4086.0,9.7mg/L,"('9.7', 'mg/L', '')",211.261,9.7,mg/L,0.0097,CC(C)NCC(O)c1cc(O)cc(O)c1,0.675180669,1000.0000004225624,999.9903004225624
119,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,4122.0,0.3 [ug/mL] (The mean of the results at pH 7.4),"('0.3', 'ug/mL', '')",301.327,0.3,ug/mL,0.0003,COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1,-3.555783955,0.08380194389827665,0.08350194389827666
120,COS(=O)(=O)C,4156.0,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)","('100', 'mg/mL', '')",110.134,100.0,mg/mL,100.0,COS(C)(=O)=O,0.958106191,1000.0635621689156,900.0635621689156
121,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,4158.0,1255mg/L,"('1255', 'mg/L', '')",233.31100000000004,1255.0,mg/L,1.255,COC(=O)C(c1ccccc1)C1CCCCN1,-0.064739158,200.99999986046868,199.74499986046868
122,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,4174.0,>33.9 [ug/mL] (The mean of the results at pH 7.4),"('33.9', 'ug/mL', '')",226.279,33.9,ug/mL,0.0339,CC(C)(C(=O)c1cccnc1)c1cccnc1,-2.052529893,2.004999911492637,1.971099911492637
123,CCN(CC)C(=O)C1=CC=CC(=C1)C,4284.0,19.6 [ug/mL] (The mean of the results at pH 7.4),"('19.6', 'ug/mL', '')",191.274,19.6,ug/mL,0.0196,CCN(CC)C(=O)c1cccc(C)c1,-2.321657469,0.9120076287109087,0.8924076287109087
124,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,4449.0,32.6 [ug/mL] (The mean of the results at pH 7.4),"('32.6', 'ug/mL', '')",470.0170000000003,32.6,ug/mL,0.0326,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,-6.117258369,0.00035880228254571943,-0.032241197717454276
125,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,4463.0,>39.9 [ug/mL] (The mean of the results at pH 7.4),"('39.9', 'ug/mL', '')",266.30400000000003,39.9,ug/mL,0.0399,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.248843632,0.15015301525270155,0.11025301525270156
126,C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2,4472.0,33.6 [ug/mL] (The mean of the results at pH 7.4),"('33.6', 'ug/mL', '')",298.346,33.6,ug/mL,0.0336,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,-2.118885738,2.2689999249682398,2.23539992496824
127,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3,4487.0,45.2 [ug/mL] (The mean of the results at pH 7.4),"('45.2', 'ug/mL', '')",308.34100000000007,45.2,ug/mL,0.0452,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,-2.930922975,0.3614999999402124,0.3162999999402124
128,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,4542.0,"In water, 1.73 mg/L, temp not stated.","('1.73', 'mg/L', '')",312.45300000000003,1.73,mg/L,0.0017,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,-5.22161979075,0.001875706606788962,0.00017570660678896204
133,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,4594.0,35.4 [ug/mL] (The mean of the results at pH 7.4),"('35.4', 'ug/mL', '')",345.42400000000004,35.4,ug/mL,0.0354,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,-3.6229956365,0.08229185884768858,0.04689185884768858
134,CCS(=O)CCSP(=O)(OC)OC,4618.0,"10 to 50 mg/mL at 61 °F (NTP, 1992)","('10', 'mg/mL', '')",246.29,10.0,mg/mL,10.0,CCS(=O)CCSP(=O)(OC)OC,0.6481796655000001,1095.5354725747304,1085.5354725747304
135,C1=CC(=C(C=C1N)O)C(=O)O,4649.0,>23 [ug/mL] (The mean of the results at pH 7.4),"('23', 'ug/mL', '')",153.137,23.0,ug/mL,0.023,Nc1ccc(C(=O)O)c(O)c1,-1.958600969,1.6845316139277249,1.661531613927725
136,CC(C)(CO)C(C(=O)NCCCO)O,4678.0,>30.8 [ug/mL] (The mean of the results at pH 7.4),"('30.8', 'ug/mL', '')",205.254,30.8,ug/mL,0.0308,CC(C)(CO)C(O)C(=O)NCCCO,0.68770310425,999.9878739145507,999.9570739145507
137,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,4680.0,"In water, 3.733X10-5 mg/L at 37.5 °C","('3.733', 'mg/L', '')",339.39100000000013,3.733,mg/L,0.0037,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,-3.908876999,0.04186232282496388,0.03816232282496388
138,C1=CC=C2C(=C1)N=C3C=CC=CC3=N2,4757.0,12.3 [ug/mL] (The mean of the results at pH 7.4),"('12.3', 'ug/mL', '')",180.21,12.3,ug/mL,0.0123,c1ccc2nc3ccccc3nc2c1,-3.7,0.03595662217805416,0.023656622178054164
139,C1=CC=C(C=C1)CCCC(=O)O,4775.0,18 mg/mL,"('18', 'mg/mL', '')",164.20399999999998,18.0,mg/mL,18.0,O=C(O)CCCc1ccccc1,-1.78,2.7251080854887717,-15.274891914511228
140,C1=CC=C(C=C1)N=C(N)N=C(N)N,4780.0,>26.6 [ug/mL] (The mean of the results at pH 7.4),"('26.6', 'ug/mL', '')",177.21099999999998,26.6,ug/mL,0.0266,NC(N)=NC(N)=Nc1ccccc1,-1.432979339,6.5389999991154975,6.512399999115497
141,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,4788.0,0.123 mg/mL at 16 °C,"('0.123', 'mg/mL', '')",274.272,0.123,mg/mL,0.123,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,-3.3483,0.1229933054710585,-6.694528941503242e-06
142,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,4828.0,>37.2 [ug/mL] (The mean of the results at pH 7.4),"('37.2', 'ug/mL', '')",248.326,37.2,ug/mL,0.0372,CC(C)NCC(O)COc1cccc2[nH]ccc12,-3.78151,0.04106881699896719,0.003868816998967191
143,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,4891.0,>46.9 [ug/mL] (The mean of the results at pH 7.4),"('46.9', 'ug/mL', '')",312.4130000000001,46.9,ug/mL,0.0469,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,-2.9918896973333333,0.3183020238049014,0.2714020238049014
144,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,4919.0,"Moderately soluble in water, ~ 30 mg/ml","('30', 'ml', '')",287.44699999999995,30.0,ml,30.0,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,-4.7,0.005735321666508591,-29.99426467833349
145,CCCOC1=C(C=C(C=C1)C(=O)OCCN(CC)CC)N,4935.0,>49.6 [ug/mL] (The mean of the results at pH 7.4),"('49.6', 'ug/mL', '')",294.395,49.6,ug/mL,0.0496,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,-2.943108463,0.335600011220958,0.28600001122095803
146,CC(CN1C=NC2=C1C(=O)N(C(=O)N2C)C)O,4977.0,>35.7 [ug/mL] (The mean of the results at pH 7.4),"('35.7', 'ug/mL', '')",238.247,35.7,ug/mL,0.0357,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.6219798896666667,997.7169039835403,997.6812039835403
147,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,4993.0,>37.3 [ug/mL] (The mean of the results at pH 7.4),"('37.3', 'ug/mL', '')",248.717,37.3,ug/mL,0.0373,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-3.311839431,0.12130146321957695,0.08400146321957695
148,C1=CC2=C(C=C1O)C(=CN2)CCN,5202.0,25.5 mg/mL,"('25.5', 'mg/mL', '')",176.21899999999994,25.5,mg/mL,25.5,NCCc1c[nH]c2ccc(O)cc12,-0.9466826376666666,19.923704632856637,-5.576295367143363
149,C(C(=O)O)F,5237.0,Miscible with water (1.0X10+6 mg/L) at 25 °C,"('1.0', 'mg/L', '')",78.042,1.0,mg/L,0.001,O=C(O)CF,1.1076847826666667,1000.0303330921766,1000.0293330921767
150,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,5265.0,50.1 [ug/mL] (The mean of the results at pH 7.4),"('50.1', 'ug/mL', '')",395.4780000000002,50.1,ug/mL,0.0501,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,-4.670728429,0.008440999998413546,-0.041659000001586455
151,C1=CC(=CC=C1NC(=O)CCC(=O)O)S(=O)(=O)NC2=NC=CS2,5315.0,51.4 [ug/mL] (The mean of the results at pH 7.4),"('51.4', 'ug/mL', '')",355.397,51.4,ug/mL,0.0514,O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-3.109944949,0.2759108686465567,0.22451086864655667
152,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,5324.0,>32.1 [ug/mL] (The mean of the results at pH 7.4),"('32.1', 'ug/mL', '')",214.25,32.1,ug/mL,0.0321,NC(N)=NS(=O)(=O)c1ccc(N)cc1,-1.98497,2.2179452970522644,2.1858452970522646
153,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,5338.0,>45.1 [ug/mL] (The mean of the results at pH 7.4),"('45.1', 'ug/mL', '')",300.343,45.1,ug/mL,0.0451,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,-4.6027730645,0.007496256698735038,-0.037603743301264966
154,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,5342.0,>60.7 [ug/mL] (The mean of the results at pH 7.4),"('60.7', 'ug/mL', '')",404.49100000000016,60.7,ug/mL,0.0607,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,-4.112885983,0.031190539007858703,-0.029509460992141294
155,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,5358.0,40.3 [ug/mL] (The mean of the results at pH 7.4),"('40.3', 'ug/mL', '')",295.408,40.3,ug/mL,0.0403,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,-1.140810713,21.360506149986872,21.320206149986873
156,C1CC(OC1)N2C=C(C(=O)NC2=O)F,5386.0,29.9 [ug/mL] (The mean of the results at pH 7.4),"('29.9', 'ug/mL', '')",200.169,29.9,ug/mL,0.0299,O=c1[nH]c(=O)n(C2CCCO2)cc1F,-1.74065354,3.636999819824332,3.607099819824332
157,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,5430.0,>30.2 [ug/mL] (The mean of the results at pH 7.4),"('30.2', 'ug/mL', '')",201.254,30.2,ug/mL,0.0302,c1ccc2[nH]c(-c3cscn3)nc2c1,-3.6047829425,0.04999902993700177,0.019799029937001767
158,C1CN1P(=S)(N2CC2)N3CC3,5453.0,>28.4 [ug/mL] (The mean of the results at pH 7.4),"('28.4', 'ug/mL', '')",189.224,28.4,ug/mL,0.0284,S=P(N1CC1)(N1CC1)N1CC1,0.0017933369999999,190.00698022466545,189.97858022466545
159,CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C,5479.0,>37.1 [ug/mL] (The mean of the results at pH 7.4),"('37.1', 'ug/mL', '')",247.276,37.1,ug/mL,0.0371,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-1.095190428,19.860562236189477,19.823462236189478
160,CCN(CC)C(=O)C1=CN=CC=C1,5497.0,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)","('100', 'mg/mL', '')",178.235,100.0,mg/mL,100.0,CCN(CC)C(=O)c1cccnc1,0.7490006123333334,999.9852700093167,899.9852700093167
161,CCN(CC)C1=CC(=NC2=NC=NN12)C,5531.0,>30.8 [ug/mL] (The mean of the results at pH 7.4),"('30.8', 'ug/mL', '')",205.265,30.8,ug/mL,0.0308,CCN(CC)c1cc(C)nc2ncnn12,-2.198037607,1.30100000002749,1.27020000002749
162,CC1(C(=O)N(C(=O)O1)C)C,5576.0,<0.3 [ug/mL] (The mean of the results at pH 7.4),"('0.3', 'ug/mL', '')",143.14199999999997,0.3,ug/mL,0.0003,CN1C(=O)OC(C)(C)C1=O,-0.4567960286666666,50.00012064878171,49.99982064878171
163,CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O,5646.0,"Solubility at 25 °C (g/100 ml): acetone, 0.77; ethyl acetate, 0.88; fural, 7.32; furfuryl alcohol, 1.21","('25', 'ml', '')",344.3190000000001,25.0,ml,25.0,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,-3.5636070265,0.09404895228708784,-24.90595104771291
164,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,5651.0,"White solid; solubility in water: greater than 100 mg/mL; moderately soluble in methanol; insoluble in higher alcohols, acetone, ether; UV max absorption (water): 282 nm (e = 40, 1%, 1 cm) /Vancomycin hydrochloride/","('100', 'mg/mL', '')",1449.2710000000004,100.0,mg/mL,100.0,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,-10.8755905,1.9300079682074078e-08,-99.99999998069993
168,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,5734.0,>31.8 [ug/mL] (The mean of the results at pH 7.4),"('31.8', 'ug/mL', '')",212.23,31.8,ug/mL,0.0318,NS(=O)(=O)Cc1noc2ccccc12,-2.423702483,0.8000263495165701,0.7682263495165701
169,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,5753.0,0.199 mg/mL,"('0.199', 'mg/mL', '')",346.4670000000001,0.199,mg/mL,0.199,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.2403020933333337,0.19923231543541817,0.0002323154354181567
170,C1=CC(=C(C(=C1)Cl)C(=O)O)Cl,5758.0,"1 to 10 mg/mL at 66 °F (NTP, 1992)","('10', 'mg/mL', '')",191.013,10.0,mg/mL,10.0,O=C(O)c1c(Cl)cccc1Cl,-1.1312147046666663,14.12043971143304,4.12043971143304
171,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2.Cl,5763.0,>52.2 [ug/mL] (The mean of the results at pH 7.4),"('52.2', 'ug/mL', '')",347.886,52.2,ug/mL,0.0522,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.Cl,-4.528174541,0.010310088916617513,-0.04188991108338249
172,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3CC4CCN3C[C@@H]4C=C)O.COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3CC4CCN3C[C@@H]4C=C)O.OS(=O)(=O)O,5768.0,"WHITE; VERY BITTER; ODORLESS; FINE CRYSTALS; FREQUENTLY COHERING IN MASSES; PH (1% AQUEOUS SOLN): 6.0-6.8 PKA: 4.2, 8.8; SPECIFIC OPTICAL ROTATION: +212 @ 25 °C/D (95% ALCOHOL); ABOUT + 260 @ 25 °C/D (DILUTE HYDROCHLORIC ACID); DOES NOT LOSE ALL OF ITS WATER BELOW 120 °C 1 G DISSOLVES IN ABOUT 90 ML WATER, 15 ML BOILING WATER, 10 ML ALCOHOL, 3 ML METHANOL, 12 ML CHLOROFORM; INSOL IN ETHER, BENZENE; /DIHYDRATE/","('6.0', ' M', '')",746.9270000000001,6.0, M,4481.562,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.O=S(=O)(O)O,-1.852084778,10.500098681351352,-4471.061901318649
174,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,5789.0,73.5 mg/mL,"('73.5', 'mg/mL', '')",242.231,73.5,mg/mL,73.5,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-0.742062088,43.86999996663544,-29.63000003336456
175,C1=CC=C(C=C1)C(C2=NC3=CC=CC=C3N2)O,5792.0,>33.6 [ug/mL] (The mean of the results at pH 7.4),"('33.6', 'ug/mL', '')",224.263,33.6,ug/mL,0.0336,OC(c1ccccc1)c1nc2ccccc2[nH]1,-2.503184968,0.704000000544658,0.670400000544658
176,C1=CC=C2C(=C1)NC=N2,5798.0,>17.7 [ug/mL] (The mean of the results at pH 7.4),"('17.7', 'ug/mL', '')",118.13899999999998,17.7,ug/mL,0.0177,c1ccc2[nH]cnc2c1,-1.7696004545,2.0081346778493865,1.9904346778493864
177,CNC[C@@H](C1=CC(=C(C=C1)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,5815.0,>50 [ug/mL] (The mean of the results at pH 7.4),"('50', 'ug/mL', '')",333.29300000000006,50.0,ug/mL,0.05,CNCC(O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O,2.41049e-05,333.3114994692136,333.26149946921356
178,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.COS(=O)(=O)[O-],5824.0,>50.2 [ug/mL] (The mean of the results at pH 7.4),"('50.2', 'ug/mL', '')",334.394,50.2,ug/mL,0.0502,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.COS(=O)(=O)[O-],-2.105948081,2.620054923014259,2.569854923014259
179,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,5887.0,>48.1 [ug/mL] (The mean of the results at pH 7.4),"('48.1', 'ug/mL', '')",320.88900000000007,48.1,ug/mL,0.0481,CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,-0.108401287,250.00779101314973,249.95969101314972
180,C1=NN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,5901.0,36.2 [ug/mL] (The mean of the results at pH 7.4),"('36.2', 'ug/mL', '')",245.191,36.2,ug/mL,0.0362,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-0.471421723,82.81000328909835,82.77380328909835
181,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C.Cl,5909.0,>36.7 [ug/mL] (The mean of the results at pH 7.4),"('36.7', 'ug/mL', '')",244.72200000000004,36.7,ug/mL,0.0367,CCC1C(=O)OCC1Cc1cncn1C.Cl,0.611332328,1000.0122988263187,999.9755988263187
182,C1CCC2=NN=NN2CC1,5917.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",138.174,100.0,mg/mL,100.0,C1CCc2nnnn2CC1,-1.639504091,3.1689999998282308,-96.83100000017177
183,C1=CN=CC(=C1N)N,5918.0,12.2 [ug/mL] (The mean of the results at pH 7.4),"('12.2', 'ug/mL', '')",109.13200000000002,12.2,ug/mL,0.0122,Nc1ccncc1N,-0.455320675,38.24999998713943,38.23779998713943
184,CCN(CC)N=O,5921.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",102.137,100.0,mg/mL,100.0,CCN(CC)N=O,0.016055006,105.98346239731033,5.983462397310333
185,CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,5934.0,0.4 [ug/mL] (The mean of the results at pH 7.4),"('0.4', 'ug/mL', '')",239.322,0.4,ug/mL,0.0004,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,-5.7769,0.000400020845598128,2.0845598127966665e-08
186,CN(CCCl)CCCl.Cl,5935.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",192.517,100.0,mg/mL,100.0,CN(CCCl)CCCl.Cl,0.452743861,546.0255266728157,446.02552667281566
187,C[C@@]12[C@H]3CC[C@@H]([C@@]1(C(=O)OC2=O)C)O3,5944.0,"Insol in cold water; somewhat sol in hot water; 1 g dissolves in 40 ml acetone, 65 ml chloroform; 1 g dissolves in 560 ml ether, 150 ml ethyl acetate; sol in oils.","('40', 'ml', '')",196.202,40.0,ml,40.0,CC12C(=O)OC(=O)C1(C)C1CCC2O1,-3.81678998075,0.0299166836676282,-39.97008331633237
188,CC[N+](CC)(CC)CC.[Cl-],5946.0,20.3 [ug/mL] (The mean of the results at pH 7.4),"('20.3', 'ug/mL', '')",165.708,20.3,ug/mL,0.0203,CC[N+](CC)(CC)CC.[Cl-],0.780664387,1000.0181046104984,999.9978046104984
